Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Employee/Employee_Role_And_Task/Roles/Add/Add_Role_existing_ShouldgiveErrorMessage,Chrome 77.0.3865.90,Should give error message,,2019-10-11 16:16:11,2019-10-11 16:16:28,16.314s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:16:12,2019-10-11 16:16:19,7.722s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/div_more_vert_hamburgerWrapper""), OPTIONAL)",Chrome 77.0.3865.90,,,2019-10-11 16:16:19,2019-10-11 16:16:19,0.103s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/a_account_circleEmployee""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:19,2019-10-11 16:16:20,0.095s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:20,2019-10-11 16:16:20,0.262s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:20,2019-10-11 16:16:21,1.003s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/i_add""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:21,2019-10-11 16:16:21,0.167s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/input_Add Role_code""), role_code)",Chrome 77.0.3865.90,,,2019-10-11 16:16:21,2019-10-11 16:16:21,0.167s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/input_Code_name""), role_name)",Chrome 77.0.3865.90,,,2019-10-11 16:16:21,2019-10-11 16:16:21,0.136s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/input_Name_description""), role_description)",Chrome 77.0.3865.90,,,2019-10-11 16:16:21,2019-10-11 16:16:21,0.127s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:21,2019-10-11 16:16:22,1.002s,PASSED
"check(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/div_Search_mat-checkbox-inner-container""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:22,2019-10-11 16:16:22,0.074s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:16:22,2019-10-11 16:16:23,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Roles_OR/Add_OR/Add_Role_existing_ShouldgiveerrorMessage/button_Save""))",Chrome 77.0.3865.90,,,2019-10-11 16:16:23,2019-10-11 16:16:24,0.080s,PASSED
